Open Playback Recorder,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V1.0,,"Last Updated: Oct 04, 2023",,,,,, $82.96 , $115.95 ,23.55,109,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
102010268,Micro Controller (Seeeduino Nano),Electrical,1,1, $10.49 ,1, $10.49 , $10.49 , $10.49 ,https://www.mouser.ca/ProductDetail/Seeed-Studio/102010268?qs=%252B6g0mu59x7KIlg%252BxI6sM2Q%3D%3D,,,
2130,Audio Amplifier (Pam8302),Electrical,1,1, $5.45 ,1, $5.45 , $5.45 , $5.45 ,https://www.mouser.ca/ProductDetail/485-2130,,,
3351,Mono Speaker (4Ω 3W ),Electrical,1,1, $5.45 ,1, $5.45 , $5.45 , $5.45 ,https://www.mouser.ca/ProductDetail/485-3351,,,
102010268,Audio Potentiometer,Electrical,1,1, $2.13 ,1, $2.13 , $2.13 , $2.13 ,https://www.mouser.ca/ProductDetail/858-P160KNP0QC20A10K,,,
254,Micro SD Reader ,Electrical,1,1, $10.35 ,1, $10.35 , $10.35 , $10.35 ,https://www.mouser.ca/ProductDetail/485-254,,,
5249,Micro SD Card,Electrical,1,1, $7.18 ,1, $7.18 , $7.18 , $7.18 ,5252 Adafruit | Mouser Canada,,,
1713,Microphone (MAX9814),Electrical,1,1, $10.97 ,1, $10.97 , $10.97 , $10.97 ,https://www.mouser.ca/ProductDetail/485-1713,,,
B3F-5050,Buttons (B3F-5050),Electrical,3,1, $0.76 ,1, $0.76 , $2.28 , $2.28 ,https://www.mouser.ca/ProductDetail/Omron-Electronics/B3F-5050?qs=dOLq8QE0Pqqk%2FO9x2OpTQw%3D%3D,,,
,Protoboard,Electrical,2,12, $11.99 ,1, $1.00 , $2.00 , $11.99 ,https://www.amazon.ca/Eiechip%C2%AE-Prototype-Universal-Electronics-Protoboard/dp/B07MTBNX8F/ref=sr_1_6?crid=1G3FYHUCMXJM0&keywords=protoboard&qid=1695770763&sprefix=protoboar%2Caps%2C191&sr=8-6,,,
RA11131123,On/Off Rocker Switch,Electrical,1,1, $0.93 ,1, $0.93 , $0.93 , $0.93 ,https://www.mouser.ca/ProductDetail/E-Switch/RA11131123?qs=QtyuwXswaQhc6OwdGDJDiQ%3D%3D,,,
RA11131123,3.5 mm Mono Jack,Electrical,2,1, $2.13 ,1, $2.13 , $4.26 , $4.26 ,https://www.mouser.ca/ProductDetail/Switchcraft/35RAPC2AV?qs=I3kMT7EEIOWP5G1fR6CxcA%3D%3D,,,
C503B-RAN-CZ0C0AA1,Red LED,Electrical,1,1, $0.26 ,1, $0.26 , $0.26 , $0.26 ,https://www.mouser.ca/ProductDetail/Cree-LED/C503B-RAN-CZ0C0AA1?qs=u4fy%2FsgLU9Otg%2Fl%2FF818Gw%3D%3D,,,
C4SMA-GGY-CU2W37A1,Green LED,Electrical,1,1, $0.17 ,1, $0.17 , $0.17 , $0.17 ,https://www.mouser.ca/ProductDetail/Cree-LED/C4SMA-GGY-CU2W37A1?qs=7D1LtPJG0i1gnYL5Rh9Mjg%3D%3D,,,
WP7113VRCBC/A,Blue LED,Electrical,3,1, $0.62 ,3, $0.62 , $1.86 , $5.58 ,https://www.mouser.ca/ProductDetail/604-WP7113VRCBCA,,,
MBA02040C2001FCT00,Resistor (2k Ω),Electrical,5,1, $0.33 ,1, $0.33 , $1.65 , $1.65 ,https://www.mouser.ca/ProductDetail/Vishay-Beyschlag/MBA02040C2001FCT00?qs=Q%252BviyuKCy%2FwudcV7dCRvqQ%3D%3D,,,
HDR100IMP40M-G-V-TH,Male Through Hole Header,Electrical,2,1, $0.80 ,1, $0.80 , $1.60 , $1.60 ,https://www.mouser.ca/ProductDetail/910-HDR100IMP40MGVTH,,,
HDR100IMP40F-G-V-TH,Female Through Hole Header,Electrical,2,1, $1.90 ,1, $1.90 , $3.80 , $3.80 ,https://www.mouser.ca/ProductDetail/Chip-Quik/HDR100IMP40F-G-V-TH?qs=Wj%2FVkw3K%252BMB%252BpQKGESbrjQ%3D%3D,,,
MN1604,9V Battery,Electrical,1,1, $3.48 ,1, $3.48 , $3.48 , $3.48 ,https://www.mouser.ca/ProductDetail/Duracell/MN1604?qs=sGAEpiMZZMuXcNZ31nzYhRxIBnh8NwTszWVrE18PlWU%3D,,,
1311,Wire Spool Set,Electrical,1,6, $23.13 ,1, $3.86 , $3.86 , $23.13 ,https://www.mouser.ca/ProductDetail/Adafruit/1311?qs=GURawfaeGuBbUKgxUfZ%252BxQ%3D%3D,,,
HH-3449,9V Battery Clip,Electrical,1,1,2.07,1, $2.07 , $2.07 , $2.07 ,https://www.mouser.ca/ProductDetail/Bud-Industries/HH-3449?qs=l8tafrjApPBvV0mmo%252BVZ5Q%3D%3D,,,
50M020040G006,M2 screw,Mechanical,10,1, $0.23 ,1, $0.23 , $2.30 , $2.30 ,https://www.mouser.ca/ProductDetail/Essentra/50M020040G006?qs=PzGy0jfpSMuHcUCYjxLeHA%3D%3D,,,
50M030050K005,M3 screw,Mechanical,5,1, $0.23 ,1, $0.23 , $1.15 , $1.15 ,https://www.mouser.ca/ProductDetail/Essentra/50M030050K005?qs=PzGy0jfpSMst2qdUqlCoNw%3D%3D,,,
,,,,,,, $-   , $-   , $-   ,,,,
,,,,,,, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Base,PLA,1,45,577,,577, $1.13 ,,,,,
,Battery Cover,PLA,1,7,84,,84, $0.18 ,,,,,
,Button Mount,PLA,3,1,8,,24, $0.03 ,,,,,
,Level Button,PLA,1,1,8,,8, $0.03 ,,,,,
,Lid,PLA,1,51,677,,677, $1.28 ,,,,,
,Play Button,PLA,1,1,8,,8, $0.03 ,,,,,
,Record Button,PLA,1,1,8,,8, $0.03 ,,,,,
,Volume Knob,PLA,1,2,27,,27, $0.05 ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,,
,60Pb/40Tn Solder Wire,,,,,,,,,,,,
,Needle Nose Pliers,,,,,,,,,,,,
,Flush Cutters,,,,,,,,,,,,
,Super Glue,,,,,,,,,,,,
,Desolder Pump (Optional),,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,Link,,,,,,,,Link,,,
,,,,,,,,,,,,,
2130,Audio Amplifier (Pam8302),https://www.adafruit.com/product/2130,,,,,,,,,,,
4445,Mono Speaker (4Ω 3W ),https://www.adafruit.com/product/4445,,,,,,,,,,,
254,Micro SD Reader ,https://www.adafruit.com/product/254,,,,,,,,,,,
5250,Micro SD Card,https://www.adafruit.com/product/5250,,,,,,,,,,,
1713,Microphone (MAX9814),https://www.adafruit.com/product/1713,,,,,,,,,,,
1119,Buttons (B3F-5050),https://www.adafruit.com/product/1119,,,,,,,,,,,
4361,3.5 mm Mono Jack,https://www.adafruit.com/product/4361,,,,,,,,,,,
4294,Resistor (1k Ω),https://www.adafruit.com/product/4294,,,,,,,,,,,
2671,Male Through Hole Header,https://www.adafruit.com/product/2671,,,,,,,,,,,
598,Female Through Hole Header,https://www.adafruit.com/product/598,,,,,,,,,,,
80,9V Battery Clip,https://www.adafruit.com/product/80,,,,,,,,,,,
301,Blue LED,https://www.adafruit.com/product/301,,,,,,,,,,,
298,Green LED,https://www.adafruit.com/product/298,,,,,,,,,,,
299,Red LED,https://www.adafruit.com/product/299,,,,,,,,,,,
